Date: 2020-06-07 22:21:57s, Time_Cost: 130s, Epoch: [48/100], Train_PSNR: 27.98, Val_PSNR: 22.99, Val_SSIM: 0.7804
Date: 2020-06-07 22:24:07s, Time_Cost: 131s, Epoch: [49/100], Train_PSNR: 28.15, Val_PSNR: 22.90, Val_SSIM: 0.7817
Date: 2020-06-07 22:26:17s, Time_Cost: 130s, Epoch: [50/100], Train_PSNR: 28.21, Val_PSNR: 22.96, Val_SSIM: 0.7786
Date: 2020-06-07 22:28:28s, Time_Cost: 130s, Epoch: [51/100], Train_PSNR: 28.17, Val_PSNR: 23.05, Val_SSIM: 0.7811
Date: 2020-06-07 22:30:38s, Time_Cost: 130s, Epoch: [52/100], Train_PSNR: 28.22, Val_PSNR: 23.01, Val_SSIM: 0.7744
Date: 2020-06-07 22:32:47s, Time_Cost: 130s, Epoch: [53/100], Train_PSNR: 28.26, Val_PSNR: 22.66, Val_SSIM: 0.7715
Date: 2020-06-07 22:34:57s, Time_Cost: 130s, Epoch: [54/100], Train_PSNR: 28.24, Val_PSNR: 22.96, Val_SSIM: 0.7783
Date: 2020-06-07 22:37:07s, Time_Cost: 130s, Epoch: [55/100], Train_PSNR: 28.27, Val_PSNR: 22.95, Val_SSIM: 0.7798
Date: 2020-06-07 22:39:16s, Time_Cost: 129s, Epoch: [56/100], Train_PSNR: 28.31, Val_PSNR: 23.04, Val_SSIM: 0.7786
Date: 2020-06-07 22:41:26s, Time_Cost: 130s, Epoch: [57/100], Train_PSNR: 28.31, Val_PSNR: 22.91, Val_SSIM: 0.7841
Date: 2020-06-07 22:43:36s, Time_Cost: 130s, Epoch: [58/100], Train_PSNR: 28.37, Val_PSNR: 22.98, Val_SSIM: 0.7837
Date: 2020-06-07 22:45:46s, Time_Cost: 130s, Epoch: [59/100], Train_PSNR: 28.43, Val_PSNR: 22.69, Val_SSIM: 0.7841
Date: 2020-06-07 22:47:56s, Time_Cost: 130s, Epoch: [60/100], Train_PSNR: 28.38, Val_PSNR: 22.86, Val_SSIM: 0.7792
Date: 2020-06-07 22:50:06s, Time_Cost: 130s, Epoch: [61/100], Train_PSNR: 28.38, Val_PSNR: 22.81, Val_SSIM: 0.7655
Date: 2020-06-07 22:52:15s, Time_Cost: 129s, Epoch: [62/100], Train_PSNR: 28.32, Val_PSNR: 23.09, Val_SSIM: 0.7864
Date: 2020-06-07 22:54:25s, Time_Cost: 130s, Epoch: [63/100], Train_PSNR: 28.62, Val_PSNR: 23.03, Val_SSIM: 0.7784
Date: 2020-06-07 22:56:35s, Time_Cost: 130s, Epoch: [64/100], Train_PSNR: 28.41, Val_PSNR: 22.88, Val_SSIM: 0.7735
Date: 2020-06-07 22:58:44s, Time_Cost: 129s, Epoch: [65/100], Train_PSNR: 28.49, Val_PSNR: 23.05, Val_SSIM: 0.7759
Date: 2020-06-07 23:00:55s, Time_Cost: 130s, Epoch: [66/100], Train_PSNR: 28.58, Val_PSNR: 22.96, Val_SSIM: 0.7748
Date: 2020-06-07 23:03:04s, Time_Cost: 130s, Epoch: [67/100], Train_PSNR: 28.36, Val_PSNR: 22.87, Val_SSIM: 0.7864
Date: 2020-06-07 23:05:14s, Time_Cost: 130s, Epoch: [68/100], Train_PSNR: 28.64, Val_PSNR: 23.02, Val_SSIM: 0.7734
Date: 2020-06-07 23:07:24s, Time_Cost: 130s, Epoch: [69/100], Train_PSNR: 28.61, Val_PSNR: 22.96, Val_SSIM: 0.7721
Date: 2020-06-07 23:09:35s, Time_Cost: 130s, Epoch: [70/100], Train_PSNR: 28.63, Val_PSNR: 23.02, Val_SSIM: 0.7785
Date: 2020-06-07 23:11:45s, Time_Cost: 130s, Epoch: [71/100], Train_PSNR: 28.54, Val_PSNR: 22.90, Val_SSIM: 0.7814
Date: 2020-06-07 23:13:55s, Time_Cost: 130s, Epoch: [72/100], Train_PSNR: 28.65, Val_PSNR: 22.89, Val_SSIM: 0.7792
Date: 2020-06-07 23:16:05s, Time_Cost: 130s, Epoch: [73/100], Train_PSNR: 28.72, Val_PSNR: 23.10, Val_SSIM: 0.7841
Date: 2020-06-07 23:18:15s, Time_Cost: 130s, Epoch: [74/100], Train_PSNR: 28.72, Val_PSNR: 22.98, Val_SSIM: 0.7692
Date: 2020-06-07 23:20:25s, Time_Cost: 130s, Epoch: [75/100], Train_PSNR: 28.82, Val_PSNR: 23.11, Val_SSIM: 0.7826
Date: 2020-06-07 23:22:35s, Time_Cost: 130s, Epoch: [76/100], Train_PSNR: 28.71, Val_PSNR: 22.84, Val_SSIM: 0.7738
